id,section,title,authors,year,type,source,priority,tags,pdf_url,landing_url,url_status,catalog_status,notes
bayes-1763,1,An Essay towards solving a Problem in the Doctrine of Chances,Bayes,1763.0,paper,crossref,p0,,https://www.stat.ucla.edu/history/essay.pdf,https://doi.org/10.1098/rstl.1763.0053,official/publisher PDF,original,Historical reprint; original publication metadata via DOI.
shannon-1948,1,A Mathematical Theory of Communication,Shannon,1948.0,paper,crossref,p0,,https://people.math.harvard.edu/~ctm/home/text/others/shannon/entropy/entropy.pdf,https://ieeexplore.ieee.org/document/6773024,official/publisher PDF,original,Open-access reprint of the 1948 Bell System Technical Journal paper.
vc-1971,1,On the Uniform Convergence of Relative Frequencies of Events to Their Probabilities,"Vapnik,Chervonenkis",1971.0,paper,crossref,p0,,,https://search.crossref.org/?q=On+the+Uniform+Convergence+of+Relative+Frequencies+of+Events+to+Their+Probabilities,Crossref search; PDF not asserted,original,
valiant-pac-1984,1,A Theory of the Learnable,Valiant,1984.0,paper,crossref,p0,,,https://search.crossref.org/?q=A+Theory+of+the+Learnable,Crossref search; PDF not asserted,original,
nfl-opt-1997,1,No Free Lunch Theorems for Optimization,"Wolpert,Macready",1997.0,paper,crossref,p0,,https://ti.arc.nasa.gov/m/profile/dhw/papers/78.pdf,https://doi.org/10.1109/4235.585893,official/publisher PDF,original,NASA-hosted author copy.
guo-calibration-2017,1,On Calibration of Modern Neural Networks,Guo,2017.0,paper,arxiv,p0,,https://arxiv.org/pdf/1706.04599,https://arxiv.org/abs/1706.04599,direct PDF (arXiv ID mapped),original,arXiv ID:1706.04599
selective-2017,1,Selective Classification for Deep Neural Networks,"Geifman,El-Yaniv",2017.0,paper,arxiv,p0,,https://arxiv.org/pdf/1705.08500,https://arxiv.org/abs/1705.08500,direct PDF (arXiv ID mapped),original,arXiv ID:1705.08500
confidence-seq-2021,1,"Time-uniform, nonparametric, nonasymptotic confidence sequences",Howard,2021.0,paper,arxiv,p0,,https://arxiv.org/pdf/1810.08240,https://arxiv.org/abs/1810.08240,direct PDF (arXiv ID mapped),original,arXiv ID:1810.08240
gentle-conformal-2021,1,A Gentle Introduction to Conformal Prediction and Distribution-Free Uncertainty Quantification,"Angelopoulos,Bates",2021.0,paper,arxiv,p0,,https://arxiv.org/pdf/2107.07511,https://arxiv.org/abs/2107.07511,direct PDF (arXiv ID mapped),original,arXiv ID:2107.07511
ltt-2021,1,Learn then Test: Calibrating Predictive Algorithms to Achieve Risk Control,Angelopoulos,2021.0,paper,arxiv,p0,,https://arxiv.org/pdf/2110.01052,https://arxiv.org/abs/2110.01052,direct PDF (arXiv ID mapped),original,arXiv ID:2110.01052
conformal-risk-2022,1,Conformal Risk Control,Angelopoulos,2022.0,paper,arxiv,p0,top15,https://arxiv.org/pdf/2208.02814,https://arxiv.org/abs/2208.02814,direct PDF (arXiv ID mapped),original,arXiv ID:2208.02814
conformal-lm-2023,1,Conformal Language Modeling,Quach,2023.0,paper,arxiv,p0,,https://arxiv.org/pdf/2306.10193,https://arxiv.org/abs/2306.10193,direct PDF (arXiv ID mapped),original,arXiv ID:2306.10193
game-theoretic-stat-2023,1,Game-Theoretic Statistics and Safe Anytime-Valid Inference,Ramdas,2023.0,paper,arxiv,p0,,https://arxiv.org/pdf/2210.01948,https://arxiv.org/abs/2210.01948,direct PDF (arXiv ID mapped),original,arXiv ID:2210.01948 arXiv first posted 2022; journal publication is 2023.
knowno-2023,1,Robots That Ask For Help: Uncertainty Alignment for Large Language Model Planners,Ren,2023.0,paper,arxiv,p0,,https://arxiv.org/pdf/2307.01928,https://arxiv.org/abs/2307.01928,direct PDF (arXiv ID mapped),original,arXiv ID:2307.01928
llm-uq-survey-2023,1,A Survey of Confidence Estimation and Calibration in Large Language Models,Geng,2023.0,paper,arxiv,,,https://arxiv.org/pdf/2311.08298,https://arxiv.org/abs/2311.08298,direct PDF (arXiv ID mapped),original,arXiv ID:2311.08298
conformal-fact-2024,1,Language Models with Conformal Factuality Guarantees,"Mohri,Hashimoto",2024.0,paper,arxiv,p0,,https://arxiv.org/pdf/2402.10978,https://arxiv.org/abs/2402.10978,direct PDF (arXiv ID mapped),original,arXiv ID:2402.10978
semantic-entropy-2024,1,Detecting hallucinations in large language models using semantic entropy,Farquhar,2024.0,paper,crossref,p0,,,https://www.nature.com/articles/s41586-024-07421-0,official landing page,original,Nature article; no stable open PDF asserted in this catalogue.
adaptive-conformal-factuality-2026,1,Adaptive Conformal Prediction for Improving Factuality of Generations by Large Language Models,Rubashevskii et al.,2026.0,paper,arxiv,p0,new-2026,https://arxiv.org/pdf/2604.13991,https://arxiv.org/abs/2604.13991,direct PDF (arXiv ID mapped),added,arXiv ID:2604.13991 Prompt-adaptive factuality and selective prediction.
conformal-feedback-alignment-2026,1,Conformal Feedback Alignment: Quantifying Answer-Level Reliability for Preference Optimization,Various,2026.0,paper,arxiv,,new-2026,https://arxiv.org/pdf/2601.17329,https://arxiv.org/abs/2601.17329,direct PDF (arXiv ID mapped),added,arXiv ID:2601.17329 Connects conformal reliability to DPO/PPO-style alignment.
conformal-lm-posterior-2026,1,Conformal Language Modeling via Posterior Sampling,Emmenegger et al.,2026.0,paper,arxiv,,new-2026,https://arxiv.org/pdf/2606.03731,https://arxiv.org/abs/2606.03731,direct PDF (arXiv ID mapped),added,arXiv ID:2606.03731 Recent conformal language-modeling method.
conformal-risk-nonmonotonic-2026,1,Conformal Risk Control for Non-Monotonic Losses,Angelopoulos,2026.0,paper,arxiv,p0,new-2026,https://arxiv.org/pdf/2602.20151,https://arxiv.org/abs/2602.20151,direct PDF (arXiv ID mapped),added,arXiv ID:2602.20151 Extends CRC beyond monotonic one-dimensional losses.
domain-shift-cp-llm-2026,1,Domain-Shift-Aware Conformal Prediction for Large Language Models,Various,2026.0,paper,arxiv,p0,new-2026,https://arxiv.org/pdf/2510.05566,https://arxiv.org/abs/2510.05566,direct PDF (arXiv ID mapped),added,arXiv ID:2510.05566 Updated 2026 version addressing calibration under prompt/domain shift.
attention-2017,2,Attention Is All You Need,Vaswani,2017.0,paper,arxiv,p0,,https://arxiv.org/pdf/1706.03762,https://arxiv.org/abs/1706.03762,direct PDF (arXiv ID mapped),original,arXiv ID:1706.03762
rag-2020,2,Retrieval-Augmented Generation for Knowledge-Intensive NLP Tasks,Lewis,2020.0,paper,arxiv,p0,top15,https://arxiv.org/pdf/2005.11401,https://arxiv.org/abs/2005.11401,direct PDF (arXiv ID mapped),original,arXiv ID:2005.11401
scaling-laws-2020,2,Scaling Laws for Neural Language Models,Kaplan,2020.0,paper,arxiv,p0,,https://arxiv.org/pdf/2001.08361,https://arxiv.org/abs/2001.08361,direct PDF (arXiv ID mapped),original,arXiv ID:2001.08361
chinchilla-2022,2,Training Compute-Optimal Large Language Models,Hoffmann,2022.0,paper,arxiv,p0,,https://arxiv.org/pdf/2203.15556,https://arxiv.org/abs/2203.15556,direct PDF (arXiv ID mapped),original,arXiv ID:2203.15556
constitutional-ai-2022,2,Constitutional AI: Harmlessness from AI Feedback,Bai,2022.0,paper,arxiv,p0,,https://arxiv.org/pdf/2212.08073,https://arxiv.org/abs/2212.08073,direct PDF (arXiv ID mapped),original,arXiv ID:2212.08073
cot-2022,2,Chain-of-Thought Prompting Elicits Reasoning in Large Language Models,Wei,2022.0,paper,arxiv,p0,,https://arxiv.org/pdf/2201.11903,https://arxiv.org/abs/2201.11903,direct PDF (arXiv ID mapped),original,arXiv ID:2201.11903
instructgpt-2022,2,Training language models to follow instructions with human feedback,Ouyang,2022.0,paper,arxiv,p0,,https://arxiv.org/pdf/2203.02155,https://arxiv.org/abs/2203.02155,direct PDF (arXiv ID mapped),original,arXiv ID:2203.02155
react-2022,2,ReAct: Synergizing Reasoning and Acting in Language Models,Yao,2022.0,paper,arxiv,p0,top15,https://arxiv.org/pdf/2210.03629,https://arxiv.org/abs/2210.03629,direct PDF (arXiv ID mapped),original,arXiv ID:2210.03629
superposition-2022,2,Toy Models of Superposition,Elhage,2022.0,paper,arxiv,p0,,https://arxiv.org/pdf/2209.10652,https://arxiv.org/abs/2209.10652,direct PDF (arXiv ID mapped),original,arXiv ID:2209.10652
agent-survey-2023,2,A Survey on Large Language Model based Autonomous Agents,Wang,2023.0,paper,arxiv,p0,,https://arxiv.org/pdf/2308.11432,https://arxiv.org/abs/2308.11432,direct PDF (arXiv ID mapped),original,arXiv ID:2308.11432
dpo-2023,2,Direct Preference Optimization: Your Language Model is Secretly a Reward Model,Rafailov,2023.0,paper,arxiv,p0,,https://arxiv.org/pdf/2305.18290,https://arxiv.org/abs/2305.18290,direct PDF (arXiv ID mapped),original,arXiv ID:2305.18290
gpt4-2023,2,GPT-4 Technical Report,OpenAI,2023.0,report,arxiv,p0,,https://arxiv.org/pdf/2303.08774,https://arxiv.org/abs/2303.08774,direct PDF (arXiv ID mapped),original,arXiv ID:2303.08774
memgpt-2023,2,MemGPT: Towards LLMs as Operating Systems,Packer,2023.0,paper,arxiv,p0,,https://arxiv.org/pdf/2310.08560,https://arxiv.org/abs/2310.08560,direct PDF (arXiv ID mapped),original,arXiv ID:2310.08560
monosemanticity-2023,2,Towards Monosemanticity: Decomposing Language Models With Dictionary Learning,Bricken,2023.0,report,web,p0,,,https://transformer-circuits.pub/2023/monosemantic-features/index.html,official landing page,original,Anthropic research report.
reflexion-2023,2,Reflexion: Language Agents with Verbal Reinforcement Learning,Shinn,2023.0,paper,arxiv,p0,,https://arxiv.org/pdf/2303.11366,https://arxiv.org/abs/2303.11366,direct PDF (arXiv ID mapped),original,arXiv ID:2303.11366
self-rag-2023,2,"Self-RAG: Learning to Retrieve, Generate, and Critique through Self-Reflection",Asai,2023.0,paper,arxiv,p0,,https://arxiv.org/pdf/2310.11511,https://arxiv.org/abs/2310.11511,direct PDF (arXiv ID mapped),original,arXiv ID:2310.11511
toolformer-2023,2,Toolformer: Language Models Can Teach Themselves to Use Tools,Schick,2023.0,paper,arxiv,p0,top15,https://arxiv.org/pdf/2302.04761,https://arxiv.org/abs/2302.04761,direct PDF (arXiv ID mapped),original,arXiv ID:2302.04761
tree-of-thoughts-2023,2,Tree of Thoughts: Deliberate Problem Solving with Large Language Models,Yao,2023.0,paper,arxiv,p0,,https://arxiv.org/pdf/2305.10601,https://arxiv.org/abs/2305.10601,direct PDF (arXiv ID mapped),original,arXiv ID:2305.10601
voyager-2023,2,Voyager: An Open-Ended Embodied Agent with Large Language Models,Wang,2023.0,paper,arxiv,,,https://arxiv.org/pdf/2305.16291,https://arxiv.org/abs/2305.16291,direct PDF (arXiv ID mapped),original,arXiv ID:2305.16291
alignment-faking-2024,2,Alignment Faking in Large Language Models,Greenblatt,2024.0,paper,arxiv,p0,,https://arxiv.org/pdf/2412.14093,https://arxiv.org/abs/2412.14093,direct PDF (arXiv ID mapped),original,arXiv ID:2412.14093
building-agents-2024,2,Building Effective Agents,Anthropic,2024.0,spec,web,,,,https://www.anthropic.com/research/building-effective-agents,official landing page,original,Anthropic engineering guidance.
